A_form5,B_form5,form_diff5,A_form10,B_form10,form_diff10,A_overall_wr,B_overall_wr,overall_wr_diff,A_venue_wr,B_venue_wr,A_venue_exp,B_venue_exp,venue_exp_diff,venue_wr_diff,venue_bat_first_wr,A_avg_score,B_avg_score,score_diff,A_avg_wickets,B_avg_wickets,wicket_diff,h2h_wr_A,h2h_n,toss_decision_bat,toss_correct,A_consistency,B_consistency,season_stage,toss_winner_won,match_id,season,team_A,team_B
1.0,0.6,0.4,0.9,0.6,0.3,0.8333,0.5,0.3333,1.0,0.5,6,0,6,0.5,0.5,159.92,150.75,9.17,7.0,6.67,0.33,0.0,1,0,0,0.3307,0.433,2,1,336036,2008,Rajasthan Royals,Mumbai Indians
0.0,0.4,-0.4,0.2,0.4,-0.2,0.1538,0.5385,-0.3847,0.0,0.5,6,0,6,-0.5,0.5,160.15,161.0,-0.85,4.92,5.38,-0.46,1.0,1,1,1,0.3307,0.4841,2,0,336037,2008,Deccan Chargers,Chennai Super Kings
0.4,0.4,0.0,0.6,0.3,0.3,0.4615,0.3077,0.1538,0.5,0.1667,0,6,-6,0.3333,0.5,150.31,143.15,7.16,6.54,5.0,1.54,0.0,1,0,0,0.4841,0.4841,2,1,336012,2008,Mumbai Indians,Royal Challengers Bangalore
1.0,0.8,0.2,0.9,0.8,0.1,0.8462,0.6923,0.1539,0.5,0.8333,0,6,-6,-0.3333,0.5,158.85,163.92,-5.07,7.0,6.69,0.31,1.0,1,0,0,0.3307,0.433,2,0,336019,2008,Rajasthan Royals,Kings XI Punjab
0.6,0.8,-0.2,0.5,0.8,-0.3,0.5385,0.7857,-0.2472,0.5,0.5,0,0,0,0.0,0.5,156.23,160.36,-4.13,6.69,6.71,-0.02,0.5,2,0,0,0.4841,0.433,2,0,336038,2008,Delhi Capitals,Rajasthan Royals
0.8,0.4,0.4,0.8,0.4,0.4,0.7143,0.5714,0.1429,1.0,0.0,1,1,0,1.0,0.5,168.0,160.07,7.93,6.71,5.57,1.14,0.0,2,1,1,0.433,0.5,2,0,336039,2008,Kings XI Punjab,Chennai Super Kings
0.8,0.6,0.2,0.8,0.5,0.3,0.8,0.6,0.2,0.0,0.5,1,0,1,-0.5,0.5,162.47,157.13,5.34,6.93,5.73,1.2,1.0,2,0,0,0.3307,0.4841,2,1,336040,2008,Rajasthan Royals,Chennai Super Kings
0.4,0.4,0.0,0.5,0.7,-0.2,0.5625,0.5,0.0625,0.5,0.5,0,0,0,0.0,0.5,157.5,148.57,8.93,5.81,6.71,-0.9,0.5,2,0,0,0.5,0.4841,0,0,392181,2009,Chennai Super Kings,Mumbai Indians
0.4,0.8,-0.4,0.3,0.8,-0.5,0.2857,0.8125,-0.5268,0.5,0.5,0,0,0,0.0,0.5,141.64,162.56,-20.92,4.71,6.81,-2.1,0.0,2,1,1,0.433,0.3307,0,1,392182,2009,Royal Challengers Bangalore,Rajasthan Royals
0.6,0.6,0.0,0.4,0.7,-0.3,0.5,0.6667,-0.1667,0.5,0.5,0,0,0,0.0,0.5,151.29,164.27,-12.98,6.86,6.33,0.53,0.0,2,0,0,0.4841,0.4841,0,1,392183,2009,Delhi Capitals,Kings XI Punjab
0.4,0.0,0.4,0.4,0.1,0.3,0.4615,0.1429,0.3186,0.5,0.5,0,0,0,0.0,0.5,149.38,159.21,-9.83,5.38,4.79,0.59,1.0,2,1,1,0.5,0.3307,0,0,392184,2009,Kolkata Knight Riders,Deccan Chargers
0.4,0.6,-0.2,0.5,0.4,0.1,0.5294,0.3333,0.1961,0.5,0.5,0,0,0,0.0,0.5,156.82,141.07,15.75,5.88,5.07,0.81,0.5,2,1,1,0.4841,0.4841,0,1,392185,2009,Chennai Super Kings,Royal Challengers Bangalore
0.2,0.4,-0.2,0.4,0.6,-0.2,0.4286,0.625,-0.1964,0.5,0.5,0,0,0,0.0,0.5,145.93,160.5,-14.57,5.14,5.94,-0.8,0.5,2,0,0,0.5,0.4841,0,1,392186,2009,Kolkata Knight Riders,Kings XI Punjab
