A_form5,B_form5,form_diff5,A_form10,B_form10,form_diff10,A_overall_wr,B_overall_wr,overall_wr_diff,A_venue_wr,B_venue_wr,A_venue_exp,B_venue_exp,venue_exp_diff,venue_wr_diff,venue_bat_first_wr,A_avg_score,B_avg_score,score_diff,A_avg_wickets,B_avg_wickets,wicket_diff,h2h_wr_A,h2h_n,toss_decision_bat,toss_correct,A_consistency,B_consistency,season_stage,team1_won,match_id,season,team_A,team_B
0.6,0.4,0.2,0.5,0.6,-0.1,0.5,0.6,-0.1,0.75,0.5,4,0,4,0.25,0.5,147.1,172.5,-25.4,6.0,5.2,0.8,0.0,1,1,1,0.4841,0.5,1,0,336025,2008,Kolkata Knight Riders,Chennai Super Kings
0.2,0.2,0.0,0.2,0.4,-0.2,0.2,0.4545,-0.2545,0.2,0.5,5,0,5,-0.3,0.6,141.0,154.0,-13.0,4.2,6.55,-2.35,0.0,1,0,0,0.3307,0.4841,1,0,336026,2008,Royal Challengers Bangalore,Delhi Capitals
0.6,0.8,-0.2,0.4,0.8,-0.4,0.4545,0.8,-0.3455,0.6,0.5,5,0,5,0.1,0.4,147.27,155.8,-8.53,5.45,6.9,-1.45,0.0,1,0,1,0.4841,0.3307,1,0,336027,2008,Kolkata Knight Riders,Rajasthan Royals
1.0,0.8,0.2,0.6,0.7,-0.1,0.6,0.7,-0.1,0.6667,0.5,3,0,3,0.1667,0.5,144.5,159.0,-14.5,7.1,6.6,0.5,0.0,1,0,0,0.433,0.3307,1,0,336028,2008,Mumbai Indians,Kings XI Punjab
0.6,0.0,0.6,0.6,0.2,0.4,0.6364,0.1818,0.4546,0.6,0.5,5,0,5,0.1,0.4,161.82,142.18,19.64,5.18,4.27,0.91,1.0,1,1,0,0.5,0.3307,1,0,336029,2008,Chennai Super Kings,Royal Challengers Bangalore
0.8,0.2,0.6,0.8,0.2,0.6,0.7273,0.1818,0.5455,0.8,0.5,5,0,5,0.3,0.6,161.73,158.36,3.37,6.91,5.0,1.91,1.0,1,0,0,0.3307,0.433,2,1,336031,2008,Kings XI Punjab,Deccan Chargers
0.4,0.8,-0.4,0.4,0.6,-0.2,0.5,0.5455,-0.0455,0.6,0.5,5,0,5,0.1,0.4,154.33,148.45,5.88,6.58,6.82,-0.24,0.0,1,0,1,0.4841,0.433,2,1,336032,2008,Delhi Capitals,Mumbai Indians
0.6,0.8,-0.2,0.5,0.9,-0.4,0.5833,0.8182,-0.2349,0.5,0.5,6,0,6,0.0,0.5,157.67,155.27,2.4,5.42,7.0,-1.58,0.0,1,1,1,0.4841,0.3307,2,0,336033,2008,Chennai Super Kings,Rajasthan Royals
0.4,0.8,-0.4,0.3,0.9,-0.6,0.4167,0.75,-0.3333,0.5,0.5,6,0,6,0.0,0.3333,147.25,163.08,-15.83,5.33,6.67,-1.34,0.0,1,1,0,0.4841,0.3307,2,1,336035,2008,Kolkata Knight Riders,Kings XI Punjab
0.0,0.2,-0.2,0.2,0.2,0.0,0.1667,0.25,-0.0833,0.0,0.5,5,0,5,-0.5,0.4,159.75,140.83,18.92,4.92,4.58,0.34,0.0,1,1,0,0.3307,0.433,2,0,336002,2008,Deccan Chargers,Royal Challengers Bangalore
1.0,0.6,0.4,0.9,0.6,0.3,0.8333,0.5,0.3333,1.0,0.5,6,0,6,0.5,0.3333,159.92,150.75,9.17,7.0,6.67,0.33,0.0,1,0,1,0.3307,0.433,2,1,336036,2008,Rajasthan Royals,Mumbai Indians
0.0,0.4,-0.4,0.2,0.4,-0.2,0.1538,0.5385,-0.3847,0.0,0.5,6,0,6,-0.5,0.3333,160.15,161.0,-0.85,4.92,5.38,-0.46,1.0,1,1,0,0.3307,0.4841,2,0,336037,2008,Deccan Chargers,Chennai Super Kings
0.4,0.4,0.0,0.3,0.6,-0.3,0.3077,0.4615,-0.1538,0.1667,0.5,6,0,6,-0.3333,0.5,143.15,150.31,-7.16,5.0,6.54,-1.54,1.0,1,0,0,0.4841,0.4841,2,0,336012,2008,Royal Challengers Bangalore,Mumbai Indians
0.8,1.0,-0.2,0.8,0.9,-0.1,0.6923,0.8462,-0.1539,0.8333,0.5,6,0,6,0.3333,0.5,163.92,158.85,5.07,6.69,7.0,-0.31,0.0,1,0,0,0.433,0.3307,2,1,336019,2008,Kings XI Punjab,Rajasthan Royals
0.6,0.8,-0.2,0.5,0.8,-0.3,0.5385,0.7857,-0.2472,0.5,0.5,0,0,0,0.0,0.5,156.23,160.36,-4.13,6.69,6.71,-0.02,0.5,2,0,0,0.4841,0.433,2,0,336038,2008,Delhi Capitals,Rajasthan Royals
0.4,0.8,-0.4,0.4,0.8,-0.4,0.5714,0.7143,-0.1429,0.0,1.0,1,1,0,-1.0,0.4,160.07,168.0,-7.93,5.57,6.71,-1.14,1.0,2,1,0,0.5,0.433,2,1,336039,2008,Chennai Super Kings,Kings XI Punjab
0.6,0.8,-0.2,0.5,0.8,-0.3,0.6,0.8,-0.2,0.5,0.0,0,1,-1,0.5,0.5,157.13,162.47,-5.34,5.73,6.93,-1.2,0.0,2,0,0,0.4841,0.3307,2,0,336040,2008,Chennai Super Kings,Rajasthan Royals
0.4,0.8,-0.4,0.3,0.8,-0.5,0.2857,0.8125,-0.5268,0.5,0.5,0,0,0,0.0,0.5,141.64,162.56,-20.92,4.71,6.81,-2.1,0.0,2,1,1,0.433,0.3307,0,1,392182,2009,Royal Challengers Bangalore,Rajasthan Royals
0.4,0.4,0.0,0.5,0.7,-0.2,0.5625,0.5,0.0625,0.5,0.5,0,0,0,0.0,0.5,157.5,148.57,8.93,5.81,6.71,-0.9,0.5,2,0,0,0.5,0.4841,0,0,392181,2009,Chennai Super Kings,Mumbai Indians
0.6,0.6,0.0,0.4,0.7,-0.3,0.5,0.6667,-0.1667,0.5,0.5,0,0,0,0.0,0.5,151.29,164.27,-12.98,6.86,6.33,0.53,0.0,2,0,0,0.4841,0.4841,0,1,392183,2009,Delhi Capitals,Kings XI Punjab
0.0,0.4,-0.4,0.1,0.4,-0.3,0.1429,0.4615,-0.3186,0.5,0.5,0,0,0,0.0,0.5,159.21,149.38,9.83,4.79,5.38,-0.59,0.0,2,1,1,0.3307,0.5,0,1,392184,2009,Deccan Chargers,Kolkata Knight Riders
0.6,0.4,0.2,0.4,0.5,-0.1,0.3333,0.5294,-0.1961,0.5,0.5,0,0,0,0.0,0.5,141.07,156.82,-15.75,5.07,5.88,-0.81,0.5,2,1,1,0.4841,0.4841,0,0,392185,2009,Royal Challengers Bangalore,Chennai Super Kings
0.4,0.2,0.2,0.6,0.4,0.2,0.625,0.4286,0.1964,0.5,0.5,0,0,0,0.0,0.5,160.5,145.93,14.57,5.94,5.14,0.8,0.5,2,0,0,0.4841,0.5,0,0,392186,2009,Kings XI Punjab,Kolkata Knight Riders
0.6,0.2,0.4,0.3,0.2,0.1,0.3125,0.2,0.1125,1.0,1.0,1,1,0,0.0,0.5,137.69,155.53,-17.84,5.06,5.13,-0.07,1.0,2,1,1,0.4841,0.3307,0,0,392188,2009,Royal Challengers Bangalore,Deccan Chargers
0.6,0.6,0.0,0.5,0.4,0.1,0.5556,0.5333,0.0223,0.5,0.5,0,0,0,0.0,0.5,158.06,145.07,12.99,6.11,6.87,-0.76,0.5,2,1,1,0.5,0.5,0,0,392189,2009,Chennai Super Kings,Delhi Capitals
0.4,0.6,-0.2,0.5,0.8,-0.3,0.4667,0.7647,-0.298,0.0,0.0,1,1,0,0.0,0.6,141.47,156.41,-14.94,5.2,6.88,-1.68,0.0,2,0,0,0.5,0.433,0,0,392190,2009,Kolkata Knight Riders,Rajasthan Royals
0.4,0.2,0.2,0.3,0.5,-0.2,0.2941,0.5882,-0.2941,0.5,0.0,0,1,-1,0.5,0.5,139.0,160.35,-21.35,5.12,5.65,-0.53,0.0,2,1,1,0.4841,0.5,0,0,392191,2009,Royal Challengers Bangalore,Kings XI Punjab
